title,author,publisher,isbn,year,pages
Recommender Systems Handbook,,Springer,978-1-4899-7636-9::978-1-4899-7637-6,2015,
Handbook of Semantic Web Technologies,,Springer,978-3-540-92912-3::978-3-540-92913-0,2011,
Springer Handbook of Computational Intelligence,,Springer,978-3-662-43504-5::978-3-662-43505-2,2015,
Handbook of Mobile Data Privacy.,,Springer,978-3-319-98160-4::978-3-319-98161-1,2018,
Handbook on Data Centers,,Springer,978-1-4939-2091-4,2015,
Handbook of Human Computation,,Springer,978-1-4614-8805-7,2013,
Body of Knowledge for Modeling and Simulation: A Handbook by the Society for Modeling and Simulation International,,Springer,978-3-031-11084-9,2023,
Handbook of Mathematical Methods in Imaging,,Springer,978-1-4939-0789-2::978-1-4939-0790-8,2015,
Recommender Systems Handbook,,Springer US,978-1-0716-2196-7,2022,
Handbook of Dynamic Data Driven Applications Systems.,,Springer,978-3-319-95503-2::978-3-319-95504-9,2018,
Handbook of Knowledge Representation,,Elsevier,978-0-444-52211-5,2008,
Handbook of Constraint Programming,,Elsevier,978-0-444-52726-4,2006,
Handbook of Temporal Reasoning in Artificial Intelligence,,Elsevier,978-0-444-51493-6,2005,
"Handbook of Research on Digital Libraries: Design, Development, and Impact",,IGI Global,9781599048796,2009,
Springer Handbook of Automation,,Springer,978-3-540-78830-0,2009,
"Handbook of Research on Computational Forensics, Digital Crime, and Investigation: Methods and Solutions",,IGI Global,9781605668369,2010,
Handbook of Visual Display Technology,,Springer,978-3-540-79566-7,2012,
Encyclopedia of Information Systems,,Academic Press,978-0-12-227240-0,2002,
Handbook of Social Network Technologies and Applications,,Springer,978-1-4419-7141-8,2010,
Mobile Computing Handbook.,,CRC Press,978-0-8493-1971-6::978-0-203-50408-6,2004,
Handbook of Finite State Based Models and Applications.,,Chapman and Hall/CRC,978-1-4398-4618-6::978-1-4398-4619-3,2012,
Handbook of Dynamic System Modeling.,,Chapman and Hall/CRC,978-1-58488-565-8::978-1-4200-1085-5,2007,
Handbook of Bioinspired Algorithms and Applications.,,Chapman and Hall/CRC,978-1-58488-475-0::978-1-4200-3506-3,2005,
Handbook of Mixed Membership Models and Their Applications.,,Chapman and Hall/CRC,978-1-4665-0408-0::978-1-4665-0409-7,2014,
The Universal Access Handbook.,,CRC Press,978-0-8058-6280-5::978-1-4200-6499-5,2009,
The Handbook of Mobile Middleware.,,Auerbach Publications/CRC,978-0-8493-3833-5::978-1-4200-1315-3,2006,
Embedded Systems Handbook.,,CRC Press,978-0-8493-2824-4::978-1-4200-3816-3,2005,
The Practical Handbook of Internet Computing.,,Chapman and Hall/CRC,978-1-58488-381-4::978-0-203-50722-3,2004,
Handbook of Real-Time and Embedded Systems.,,Chapman and Hall/CRC,978-1-58488-678-5::978-1-4200-1174-6,2007,
Handbook on Soft Computing for Video Surveillance.,,Chapman and Hall/CRC,978-1-4398-5684-0::978-1-4398-5685-7,2012,
Handbook of Energy-Aware and Green Computing - Two Volume Set.,,Chapman and Hall/CRC,978-1-4665-0116-4::978-1-4822-5444-0,2012,
Handbook of Algorithms for Physical Design Automation.,,Auerbach Publications,978-0-8493-7242-1::978-1-4200-1348-1,2008,
"Handbook of Scheduling - Algorithms, Models, and Performance Analysis.",,Chapman and Hall/CRC,978-1-58488-397-5::978-0-203-48980-2,2004,
Handbook of Financial Cryptography and Security.,,Chapman and Hall/CRC,978-1-4200-5981-6::978-1-4200-5982-3,2010,
"Handbook of Virtual Environments - Design, Implementation, and Applications, Second Edition.",,CRC Press,978-1-4665-1184-2::978-1-4665-1185-9,2014,
Handbook of Discrete and Combinatorial Mathematics.,,CRC Press,978-0-8493-0149-0::978-1-4398-3290-5,1999,
Handbook of Data Structures and Applications.,,Chapman and Hall/CRC,978-1-58488-435-4::978-1-4200-3517-9,2004,
Handbook of Elliptic and Hyperelliptic Curve Cryptography.,,Chapman and Hall/CRC,978-1-58488-518-4::978-1-4200-3498-1,2005,
Handbook on Graph Drawing and Visualization.,,Chapman and Hall/CRC,978-1-5848-8412-5,2013,
"Handbook of Parallel Computing - Models, Algorithms and Applications.",,Chapman and Hall/CRC,978-1-58488-623-5::978-1-4200-1129-6,2007,
"Information security management handbook, Sixth Edition.",,Auerbach Publ./CRC Press,978-0-8493-7495-1::978-1-4398-3303-2,2007,3231
Handbook of Approximation Algorithms and Metaheuristics.,,Chapman and Hall/CRC,978-1-58488-550-4::978-1-4200-1074-9,2007,
Handbook of Algorithms for Wireless Networking and Mobile Computing.,,Chapman and Hall/CRC,978-1-58488-465-1::978-1-4200-3509-4,2005,
Encyclopedia of Computer Graphics and Games.,,Springer,,2019,
Handbook of Natural Computing,,Springer,978-3-540-92909-3,2012,
Handbook of Research on Computer Mediated Communication (2 Volumes),,IGI Global,9781599048635,2008,
"Handbook of Formal Languages, Volume 1: Word, Language, Grammar.",,Springer,978-3-642-63863-3::978-3-642-59136-5,1997,
"Handbook of Formal Languages, Volume 3: Beyond Words.",,Springer,978-3-642-63859-6::978-3-642-59126-6,1997,
"Handbook of Formal Languages, Volume 2. Linear Modeling: Background and Application.",,Springer,978-3-642-08230-6::978-3-662-07675-0,1997,
Encyclopedia of Systems and Control,,Springer,978-1-4471-5102-9,2015,
Encyclopedia of Education and Information Technologies,,Springer International Publishing,978-3-319-60013-0,2020,
Encyclopedia of Computational Neuroscience,,Springer,978-1-4614-7320-6,2014,
Handbook of Model Checking.,,Springer,978-3-319-10574-1::978-3-319-10575-8,2018,
Handbook of Spatial Logics,,Springer,978-1-4020-5586-7,2007,
"Handbook of Natural Language Processing, Second Edition.",,Chapman and Hall/CRC,978-1-4200-8592-1::978-1-4200-8593-8,2010,
Encyclopedia of Bioinformatics and Computational Biology - Volume 3,,Elsevier,978-0-12-811432-2,2019,
Encyclopedia of Bioinformatics and Computational Biology - Volume 2,,Elsevier,978-0-12-811432-2,2019,
Encyclopedia of Bioinformatics and Computational Biology - Volume 1,,Elsevier,978-0-12-811432-2,2019,
"Encyclopedia of Data Warehousing and Mining, Second Edition (4 Volumes)",,IGI Global,9781605660103,2009,
Handbook of Database Security - Applications and Trends,,Springer,978-0-387-48532-4,2008,
Handbook of Computational Social Choice,,Cambridge University Press,9781107446984,2016,
International Encyclopedia of Statistical Science,,Springer,978-3-642-04897-5::978-3-642-04898-2,2011,
Encyclopedia of Parallel Computing,,Springer,978-0-387-09765-7,2011,
Handbook of Information and Communication Security,,Springer,978-3-642-04116-7,2010,
Encyclopedia of Big Data Technologies.,,Springer,978-3-319-63962-8::978-3-319-77524-1,2019,
Springer Handbook of Robotics,,Springer,978-3-319-32550-7::978-3-319-32552-1,2016,
Springer Handbook of Robotics,,Springer,978-3-540-23957-4,2008,
"Encyclopedia of Cryptography and Security, 2nd Ed.",,Springer,978-1-4419-5905-8,2011,
Encyclopedia of Cryptography and Security,,Springer,978-0-387-23473-1,2005,
Encyclopedia of Information Ethics and Security,,IGI Global,9781591409885,2007,
Recommender Systems Handbook,,Springer,978-0-387-85819-7::978-0-387-85820-3,2011,
WIN - Women in Numbers - Research Directions in Number Theory.,,American Mathematical Society,978-0-8218-5226-2,2011,
Computational Complexity Theory.,,AMS Chelsea Publishing,978-0-8218-2872-4,2004,
75 Years of Mathematics of Computation,,American Mathematical Society,978-1-4704-5163-9::978-1-4704-5637-5,2020,
Applied Algebra and Number Theory,,Cambridge University Press,9781139696456,2014,
Compiling with Continuations,Andrew W. Appel,Cambridge University Press,0-521-41695-7,1992,
An Introduction to Mathematical Taxonomy,Graham Dunn::Brian S. Everitt,Cambridge University Press,,1982,
Speech Acts: An Essay in the Philosophy of Language.,John R. Searle,Cambridge University Press,9781139173438,1969,
Physical-Layer Security: From Information Theory to Security Engineering.,Matthieu R. Bloch::João Barros,Cambridge University Press,9780511977985,2011,
Evolution and the Theory of Games,John Maynard Smith,Cambridge University Press,978-0-51180629-2,1982,224
Space-Time Coding - Theory and Practice,Hamid Jafarkhani,Cambridge University Press,978-0-51153677-9,2005,302
Evolutionary Games and Population Dynamics,Josef Hofbauer::Karl Sigmund,Cambridge University Press,978-1-13917317-9,1998,323
"Algorithms on Strings, Trees, and Sequences - Computer Science and Computational Biology",Dan Gusfield,Cambridge University Press,0-521-58519-8::9780511574931,1997,
"Matrix Analysis, 2nd Ed.",Roger A. Horn::Charles R. Johnson,Cambridge University Press,9780521548236::9781139020411,2012,
An Introduction to Support Vector Machines and Other Kernel-based Learning Methods.,Nello Cristianini::John Shawe-Taylor,Cambridge University Press,9780511801389,2000,
The Science of Science,Dashun Wang::Albert-László Barabási,Cambridge University Press,978-1108716956,2021,
Concurrency Verification: Introduction to Compositional and Noncompositional Methods,Willem P. de Roever::Frank S. de Boer::Ulrich Hannemann::Jozef Hooman::Yassine Lakhnech::Mannes Poel::Job Zwiers,Cambridge University Press,0-521-80608-9,2001,
"Mobility Data: Modeling, Management, and Understanding",,Cambridge University Press,978-1-107-02171-6,2013,
Principles of Automated Negotiation,Shaheen Fatima::Sarit Kraus::Michael J. Wooldridge,Cambridge University Press,9780511751691,2014,
The Foundations of Cryptography - Volume 1: Basic Techniques.,Oded Goldreich 0001,Cambridge University Press,0-521-79172-3::9780511546891,2001,
On the Construction of Programs,,Cambridge University Press,978-0-521-23090-2,1980,422
The Once and Future Turing: Computing the World,,Cambridge University Press,9780511863196,2016,
"Reliability and Availability Engineering - Modeling, Analysis, and Applications",Kishor S. Trivedi::Andrea Bobbio,Cambridge University Press,978-1-107-09950-0,2017,726
Social Network Analysis: Methods and Applications.,Stanley Wasserman::Katherine Faust,Cambridge University Press,9780511815478,1994,
Virtual Reality.,Steven M. LaValle,Cambridge University Press,,2020,
"Spiking Neuron Models: Single Neurons, Populations, Plasticity",Wulfram Gerstner::Werner M. Kistler,Cambridge University Press,978-0-51181570-6,2002,480
The Foundations of Cryptography - Volume 2: Basic Applications.,Oded Goldreich 0001,Cambridge University Press,0-521-83084-2::9780511721656,2004,
Temporal Logics in Computer Science: Finite-State Systems,Stéphane Demri::Valentin Goranko::Martin Lange,Cambridge University Press,9781107028364,2016,
Descriptive Set Theory and Forcing: How to Prove Theorems about Borel Sets the Hard Way,Arnold W. Miller,Cambridge University Press,9781316716977,2017,
Wireless Communications.,Andrea Goldsmith,Cambridge University Press,9780511841224,2005,
The Core Model Iterability Problem,John R. Steel,Cambridge University Press,9781316716892,2017,
Space-Time Block Coding for Wireless Communications.,Erik G. Larsson::Petre Stoica,Cambridge University Press,9780511550065,2003,
Introduction to Coalgebra: Towards Mathematics of States and Observation,Bart Jacobs 0001,Cambridge University Press,9781316823187,2016,
The Measure of All Minds: Evaluating Natural and Artificial Intelligence,José Hernández-Orallo,Cambridge University Press,9781316594179,2017,
"Groups, Languages and Automata",Derek F. Holt::Sarah Rees::Claas E. Röver,Cambridge University Press,9781316588246,2017,
Lectures on Infinitary Model Theory,David Marker,Cambridge University Press,9781316855560,2016,
Image Registration for Remote Sensing,,Cambridge University Press,9780521516112,2011,
Social Media Mining: An Introduction,Reza Zafarani::Mohammad Ali Abbasi::Huan Liu 0001,Cambridge University Press,9781139088510,2014,
Cognition and intractability: a guide to classical and parameterized complexity analysis.,Iris van Rooij::Mark Blokpoel::Johan Kwisthout::Todd Wareham,Cambridge University Press,9781107358331,2019,
"Descriptive Complexity, Canonisation, and Definable Graph Structure Theory",Martin Grohe,Cambridge University Press,9781139028868,2017,
A Cryptography Primer: Secrets and Promises,Philip N. Klein,Cambridge University Press,9781139084772,2014,
Modern Compiler Implementation in Java: Basic Techniques,Andrew W. Appel,Cambridge University Press,0-521-58654-2,1997,
"Burden of Proof, Presumption and Argumentation",Douglas Walton,Cambridge University Press,9781107110311,2014,
"P, NP, and NP-Completeness: The Basics of Complexity Theory.",Oded Goldreich 0001,Cambridge University Press,978-0-521-12254-2::9780511761355,2010,
Turing's Imitation Game: Conversations with the Unknown,Kevin Warwick::Huma Shah,Cambridge University Press,9781107297234,2016,
A General Algebraic Semantics for Sentential Logics,Josep Maria Font::Ramon Jansana,Cambridge University Press,9781316716915,2017,
The Structure and Dynamics of Cities: Urban Data Analysis and Theoretical Modeling,Marc Barthelemy,Cambridge University Press,9781316271377,2016,
Planning Algorithms.,Steven M. LaValle,Cambridge University Press,9780511546877,2006,
Foundations of Data Exchange,Marcelo Arenas::Pablo Barceló::Leonid Libkin::Filip Murlak,Cambridge University Press,9781107016163,2014,
Modern Compiler Implementation in C,Andrew W. Appel,Cambridge University Press,0-521-58390-X,1998,
Interactions with Search Systems,Ryen W. White,Cambridge University Press,9781139525305,2016,
Design and Development of Training Games: Practical Guidelines from a Multidisciplinary Perspective,,Cambridge University Press,9781107280137,2014,
"Machine Learning Refined: Foundations, Algorithms, and Applications",Jeremy Watt::Reza Borhani::Aggelos K. Katsaggelos,Cambridge University Press,9781316402276,2016,
Surveys in Combinatorics 2015,,Cambridge University Press,9781316106853,2015,
The Cambridge Handbook of Responsible Artificial Intelligence - Interdisciplinary Perspectives,,Cambridge University Press,9781009207898,2022,
Bayesian Speech and Language Processing,Shinji Watanabe 0001::Jen-Tzung Chien,Cambridge University Press,9781107295360,2015,
Finite and Algorithmic Model Theory.,,Cambridge University Press,978-0-521-71820-2,2011,
Lectures in Game Theory for Computer Scientists.,,Cambridge University Press,978-0-521-19866-0,2011,
Genome-Scale Algorithm Design: Biological Sequence Analysis in the Era of High-Throughput Sequencing.,Veli Mäkinen::Djamal Belazzougui::Fabio Cunial::Alexandru I. Tomescu,Cambridge University Press,9781107078536,2015,
Practical Foundations for Programming Languages (2nd. Ed.).,Robert Harper 0001,Cambridge University Press,9781107150300,2016,
Social Signal Processing,,Cambridge University Press,9781316676202,2017,
Network Information Theory.,Abbas El Gamal::Young-Han Kim 0001,Cambridge University Press,9781139030687,2011,
Convex Optimization.,Stephen P. Boyd::Lieven Vandenberghe,Cambridge University Press,978-0-521-83378-3::9780511804441,2014,
Matrix Analysis.,Roger A. Horn::Charles R. Johnson,Cambridge University Press,9780511810817,1985,
Basic Concepts in Data Structures,Shmuel Tomi Klein,Cambridge University Press,9781316613849,2016,
Recursion Theory,Joseph R. Shoenfield,Cambridge University Press,9781316717011,2017,
"Communities of Practice: Learning, Meaning, and Identity.",Etienne Wenger,Cambridge University Press,9780511803932,1998,
Fundamentals of Stability Theory,John T. Baldwin 0001,Cambridge University Press,9781316717035,2017,
Using Language.,Herbert H. Clark,Cambridge University Press,9780511620539,1996,
Cognitive Linguistics.,William Croft 0001::D. Alan Cruse,Cambridge University Press,9780511803864,2004,
Path-Oriented Program Analysis.,J. C. Huang 0001,Cambridge University Press,978-0-521-88286-6,2008,208
Recursion-Theoretic Hierarchies,Peter G. Hinman,Cambridge University Press,9781316717110,2017,
Constructibility,Keith J. Devlin,Cambridge University Press,9781316717219,2017,
Modal Logic - An Introduction,Brian F. Chellas,Cambridge University Press,978-0-51162119-2,1980,295
Synchronization - A Universal Concept in Nonlinear Sciences,Arkady Pikovsky::Michael Rosenblum::Jürgen Kurths,Cambridge University Press,978-0-51175574-3,2001,411
Fundamentals of Wireless Communication.,David Tse::Pramod Viswanath,Cambridge University Press,9780511807213,2005,
Situated Learning: Legitimate Peripheral Participation.,Jean Lave::Etienne Wenger,Cambridge University Press,,1991,
Design and Deployment of Small Cell Networks,,Cambridge University Press,9781107297333,2015,
Computational Social Science: Discovery and Prediction,,Cambridge University Press,9781316257340,2016,
"LDPC Code Designs, Constructions, and Unification",Juane Li::Shu Lin 0001::Khaled A. S. Abdel-Ghaffar::William E. Ryan::Daniel J. Costello Jr.,Cambridge University Press,9781316780152,2016,
Picturing Quantum Processes: A First Course in Quantum Theory and Diagrammatic Reasoning,Bob Coecke::Aleks Kissinger,Cambridge University Press,9781316219317,2017,
Genome-Scale Algorithm Design: Bioinformatics in the Era of High-Throughput Sequencing (2nd edition).,Veli Mäkinen::Djamal Belazzougui::Fabio Cunial::Alexandru I. Tomescu,Cambridge University Press,9781009341233,2023,
Foundations of Probabilistic Programming,,Cambridge University Press,9781108770750,2020,
Boolean Functions for Cryptography and Coding Theory,,Cambridge University Press,9781108606806,2020,
Beyond the Worst-Case Analysis of Algorithms,,Cambridge University Press,9781108637435,2020,
"Random Graphs, Second Edition",Béla Bollobás,Cambridge University Press,978-0-51181406-8,2011,498
Algorithmic Aspects of Graph Connectivity,Hiroshi Nagamochi::Toshihide Ibaraki,Cambridge University Press,9780511721649,2008,
Knowledge Engineering: Building Cognitive Assistants for Evidence-based Reasoning,Gheorghe Tecuci::Dorin Marcu::Mihai Boicu::David A. Schum,Cambridge University Press,9781316388464,2016,
Introduction to Property Testing.,Oded Goldreich 0001,Cambridge University Press,978-1-107-19405-2::9781108135252,2017,468
Random Graphs and Complex Networks,Remco van der Hofstad,Cambridge University Press,9781316779422,2016,
Randomized Algorithms.,Rajeev Motwani 0001::Prabhakar Raghavan,Cambridge University Press,0-521-47465-5::9780511814075,1995,
Fundamentals of Error-Correcting Codes,W. Cary Huffman::Vera Pless,Cambridge University Press,978-0-51180707-7,2003,646
Challenges of Discourse Processing - The Case of Technical Documents.,,Cambridge Scholars Publishing,978-1-4438-5583-9,2014,
Optimal Transport - Theory and Applications.,,Cambridge University Press,978-1-10-768949-7,2014,
"Numerical Recipes in C, 2nd Edition.",William H. Press::Saul A. Teukolsky::William T. Vetterling::Brian P. Flannery,Cambridge University Press,0-521-43108-5,1992,994
Modern Compiler Implementation in Java,Andrew W. Appel,Cambridge University Press,0-521-58388-8,1998,
Tractability: Practical Approaches to Hard Problems,,Cambridge University Press,9781139177801,2014,
Real-Time Software Design for Embedded Systems,Hassan Gomaa,Cambridge University Press,9781139644532,2016,
Introduction to Combinators and Lambda-Calculus.,J. Roger Hindley::Jonathan P. Seldin,Cambridge University Press,,1986,
Secure Multiparty Computation and Secret Sharing.,Ronald Cramer::Ivan Damgård::Jesper Buus Nielsen,Cambridge University Press,9781107043053,2015,
"The Uses of Argument, Updated Edition.",Stephen E. Toulmin,Cambridge University Press,9780521534833,2008,
Biological Sequence Analysis: Probabilistic Models of Proteins and Nucleic Acids,Richard Durbin::Sean R. Eddy::Anders Krogh::Graeme J. Mitchison,Cambridge University Press,0-521-62971-3::9780511790492,1998,
Big Data over Networks,,Cambridge University Press,9781316162750,2016,
"Information Theory - Coding Theorems for Discrete Memoryless Systems, Second Edition",Imre Csiszár::János Körner,Cambridge University Press,978-0-51192188-9,2011,499
Higher Order Logic and Hardware Verification.,Thomas F. Melham,Cambridge University Press,9780521417181,1993,
Multiple View Geometry in Computer Vision.,Richard Hartley 0001::Andrew Zisserman,Cambridge University Press,9780511811685,2004,
Modern Compiler Implementation in ML,Andrew W. Appel,Cambridge University Press,0-521-58274-1,1998,
Bounded Variable Logics and Counting: A Study in Finite Models,Martin Otto 0001,Cambridge University Press,9781316716878,2017,
Relational Mathematics,Gunther Schmidt 0001,Cambridge University Press,978-0-521-76268-7,2011,
Random Wireless Networks: An Information Theoretic Perspective,Rahul Vaze,Cambridge University Press,9781316182581,2015,
LEDA: A Platform for Combinatorial and Geometric Computing.,Kurt Mehlhorn::Stefan Näher,Cambridge University Press,0-521-56329-1,1999,
"Modern Compiler Implementation in Java, 2nd edition.",Andrew W. Appel::Jens Palsberg,Cambridge University Press,0-521-82060-X,2002,
Mathematics of Public Key Cryptography,Steven D. Galbraith,Cambridge University Press,9781107013926,2012,
Kernel Methods for Pattern Analysis.,John Shawe-Taylor::Nello Cristianini,Cambridge University Press,9780511809682,2004,
Goal-based Reasoning for Argumentation.,Douglas Walton,Cambridge University Press,9781107119048,2015,
"Boolean Models and Methods in Mathematics, Computer Science, and Engineering",,Cambridge University Press,9780511780448,2010,
NIST Handbook of Mathematical Functions.,,Cambridge University Press,978-0-521-19225-5,2010,
Convex Optimization in Signal Processing and Communications.,,Cambridge University Press,978-0-521-76222-9,2010,
"Probability: Theory and Examples, 4th Edition.",Rick Durrett,Cambridge University Press,9780511779398,2010,
Contest Theory: Incentive Mechanisms and Ranking Methods,Milan Vojnovic,Cambridge University Press,9781139519366,2016,
Data Refinement: Model-oriented Proof Theories and their Comparison,Willem P. de Roever::Kai Engelhardt,Cambridge University Press,0-521-64170-5,1998,
Essential Stability Theory,Steven Buechler,Cambridge University Press,9781316717257,2017,
The Cambridge Companion to Electronic Music.,,Cambridge University Press,978-0-521-68865-9,2012,
Compressed Sensing,,Cambridge University Press,9780511794308,2012,
Advanced Topics in Bisimulation and Coinduction.,,Cambridge University Press,978-1-10-700497-9,2012,
"Wireless-Powered Communication Networks: Architectures, Protocols, and Applications",,Cambridge University Press,9781316471845,2016,
Algorithmic Game Theory,,Cambridge University Press,9780511800481,2007,
Human Error,James Reason,Cambridge University Press,978-1-13906236-7,1990,302
"Mining of Massive Datasets, 2nd Ed.",Jure Leskovec::Anand Rajaraman::Jeffrey D. Ullman,Cambridge University Press,978-1107077232,2014,
Automated Planning and Acting,Malik Ghallab::Dana S. Nau::Paolo Traverso,Cambridge University Press,978-1-107-03727-4,2016,
Modern Compiler Implementation in C: Basic Techniques,Andrew W. Appel,Cambridge University Press,0-521-58653-4,1997,
Modal Logic,Patrick Blackburn::Maarten de Rijke::Yde Venema,Cambridge University Press,978-1-10705088-4,2001,554
Quantum Information Theory,Mark M. Wilde,Cambridge University Press,9781316809976,2017,
The Cognitive Structure of Emotions.,Andrew Ortony::Gerald L. Clore::Allan Collins,Cambridge University Press,9780511571299,1988,
Introduction to Parallel Computing,Zbigniew J. Czech,Cambridge University Press,9781316795835,2017,
Advanced Analytical Dynamics: Theory and Applications,Vincent De Sapio,Cambridge University Press,9781316832301,2017,
Surveys in Combinatorics 2013,,Cambridge University Press,9781139506748,2013,
Data Mining and Analysis: Fundamental Concepts and Algorithms.,Mohammed J. Zaki::Wagner Meira Jr.,Cambridge University Press,9780521766333,2014,
Turing's Legacy: Developments from Turing's Ideas in Logic,,Cambridge University Press,9781107338579,2014,
Evaluating Learning Algorithms: A Classification Perspective,,Cambridge University Press,9780521196000,2011,
Natural Language Generation in Interactive Systems,,Cambridge University Press,9780511844492,2014,
Aspects of Incompleteness,Per Lindström,Cambridge University Press,9781316716854,2017,
Argumentation Schemes.,Douglas Walton::Chris Reed 0001::Fabrizio Macagno,Cambridge University Press,9780521723749,2008,443
Motion Deblurring: Algorithms and Systems,,Cambridge University Press,9781107360181,2014,
Modern Compiler Implementation in ML: Basic Techniques,Andrew W. Appel,Cambridge University Press,0-521-58775-1,1997,
Fine Structure and Iteration Trees,William J. Mitchell 0002::John R. Steel,Cambridge University Press,9781316718315,2017,
A Journey Through the Systems Landscape.,"Harold ""Bud"" Lawson",College Publications,978-1-84890-010-3,2010,
Handbuch Forschungsdatenmanagement.,,"Bock + Herchen, Bad Honnef",978-3-88347-283-6,2011,
Building Query Compilers (Draft / Under Construction).,Guido Moerkotte,,,2023,
"Atlas of AI: Power, Politics and the Planetary Costs of Artificial Intelligence.",Kate Crawford 0002,Yale University Press,,2021,
Computable set theory. Volume 1.,Domenico Cantone::Alfredo Ferro::Eugenio G. Omodeo,Clarendon Press / Oxford University Press,0-19-853807-3::9780198538073,1989,
FastLane: Managing Science in the Internet World.,Thomas J. Misa::Jeffrey R. Yost,Johns Hopkins University Press,9781421418681,2016,
When Computing Got Personal: A History of the Desktop Computer.,Matt Nicholson,matt publishing,978-0-9927774-1-8,2014,
Broad Band: The Untold Story of the Women Who Made The Internet.,Claire L. Evans,"Portfolio / Penguin, Random House",,2018,
The Idea Factory: Bell Labs and the Great Age of American Innovation.,Jon Gertner,Penguin Press,978-1594203282,2012,
Mentale Belastung und kognitive Prozesse bei komplexen Dialogstrukturen.,Edmund Eberleh::Norbert A. Streitz,"Verlag für neue Wissenschaft, Bremerhaven",978-3-88314-915-8,1989,
